institute_name,semester_title,course_title
Intensive Offline DC,Semester 1,Introduction to Tech
Intensive Offline DC,Semester 1,Introduction to Tech.
Intensive Offline DC,Semester 1,Orientation Session
Intensive Offline DC,Semester 1,Production Ready Practices
Intensive Offline DC,Semester 1,Programming with Python
Intensive Offline DC,Semester 1,ReactJS Vite Mini Projects
Joy University,Semester 1,Applied Physics
Joy University,Semester 1,Communicative English Foundation
Joy University,Semester 1,Computer Programming
Joy University,Semester 1,Intro To NIAT
Joy University,Semester 1,Introduction to Artificial Intelligence Tools
Joy University,Semester 1,Mathematics for Computer Science
Joy University,Semester 1,Quantitative Aptitude
Joy University,Semester 1,Web Application Development - I
LIMAT,Semester 1,Intro To NIAT
Lingaya's Vidyapeeth,Semester 1,Communicative English Foundation
Lingaya's Vidyapeeth,Semester 1,Computer Programming
Lingaya's Vidyapeeth,Semester 1,Intro To NIAT
Lingaya's Vidyapeeth,Semester 1,Introduction to Generative AI
Lingaya's Vidyapeeth,Semester 1,Mathematics for Computer Science
Lingaya's Vidyapeeth,Semester 1,Quantitative Aptitude
Lingaya's Vidyapeeth,Semester 1,Web Application Development
Malla Reddy Tirupati,Semester 1,Communicative English Foundation
Malla Reddy Tirupati,Semester 1,Computer Programming
Malla Reddy Tirupati,Semester 1,Intro To NIAT
Malla Reddy Tirupati,Semester 1,Introduction to Generative AI
Malla Reddy Tirupati,Semester 1,Mathematics for Computer Science
Malla Reddy Tirupati,Semester 1,Quantitative Aptitude
Malla Reddy Tirupati,Semester 1,Web Application Development 1
Malla Reddy University,Semester 1,Communication Skills & Strategies
Malla Reddy University,Semester 1,Generative AI Systems
Malla Reddy University,Semester 1,Intro To NIAT
Malla Reddy University,Semester 1,Mathematics for Computer Science
Malla Reddy University,Semester 1,Programming for Problem Solving
Malla Reddy University,Semester 1,Quantitative Aptitude
Malla Reddy University,Semester 1,Web Programming & UI Design
Malla Reddy Vishwavidyapeeth,Semester 3,AI For Finanace
Malla Reddy Vishwavidyapeeth,Semester 3,Advanced Communication Skills
Malla Reddy Vishwavidyapeeth,Semester 3,Back End Development
Malla Reddy Vishwavidyapeeth,Semester 3,Building LLM Applications
Malla Reddy Vishwavidyapeeth,Semester 3,Data Structures
Malla Reddy Vishwavidyapeeth,Semester 3,Design and Analysis of Algorithms
Malla Reddy Vishwavidyapeeth,Semester 3,Digital Electronics
Malla Reddy Vishwavidyapeeth,Semester 3,Introduction to Generative AI
Malla Reddy Vishwavidyapeeth,Semester 3,Logical Reasoning and Analytical Skills
Malla Reddy Vishwavidyapeeth,Semester 3,Probability and Statistics
NIAT Chevella,Semester 2,AI For Finanace
NIAT Chevella,Semester 2,Applied Communicative Skills
NIAT Chevella,Semester 2,Back End Development
NIAT Chevella,Semester 2,Command Line Interface & Scripting
NIAT Chevella,Semester 2,Data Structures and Algorithms
NIAT Chevella,Semester 2,Design and Analysis of Algorithms
NIAT Chevella,Semester 2,Logical Reasoning
NIAT Chevella,Semester 2,Probability and Statistics
NRI,Semester 1,Communicative English
NRI,Semester 1,Computer Programming
NRI,Semester 1,Developer Tools Tab
NRI,Semester 1,Intro To Gen AI
NRI,Semester 1,Intro To NIAT
NRI,Semester 1,Maths for CSE
NRI,Semester 1,Quantitive aptitude
NRI,Semester 1,Web Aplication Development
NRI,Semester 3,AI For Finanace
NRI,Semester 3,Advanced Communication Skills
NRI,Semester 3,Back End Development
NRI,Semester 3,Design and Analysis of Algorithms
NRI,Semester 3,Logical Reasoning and Analytical Skills
NRI,Semester 3,Probability and Statistics
NRI,Semester 3,Quantum Physics
NSRIT University,Semester 1,Computer Programming
NSRIT University,Semester 1,English
NSRIT University,Semester 1,GEN AI
NSRIT University,Semester 1,Intro To NIAT
NSRIT University,Semester 1,Maths for CSE
NSRIT University,Semester 1,Web Application Development
NSRIT University,Semester 3,AI For Finanace
NSRIT University,Semester 3,Advanced Communication Skills
NSRIT University,Semester 3,Back End Development
NSRIT University,Semester 3,Design and Analysis of Algorithms
NSRIT University,Semester 3,Logical Reasoning and Analytical Skills
NSRIT University,Semester 3,Probability and Statistics
Noida International University,Semester 3,AI For Finanace
Noida International University,Semester 3,Advanced Communication Skills
Noida International University,Semester 3,Back End Development
Noida International University,Semester 3,Design and Analysis of Algorithms
Noida International University,Semester 3,Logical Reasoning and Analytical Skills
Noida International University,Semester 3,Probability and Statistics
Nxtwave Institute of Advanced Technologies,Semester 5,Computer Networks
Nxtwave Institute of Advanced Technologies,Semester 5,Introduction to ML
Nxtwave Institute of Advanced Technologies,Semester 5,Language Analytics
Nxtwave Institute of Advanced Technologies,Semester 5,Practical Software Engineering
Nxtwave Institute of Advanced Technologies,Semester 5,Python for DA
Program_Ops,Semester 1,DBMS
S-VYASA,Semester 1,Communicative English Foundation
S-VYASA,Semester 1,Computer Programming
S-VYASA,Semester 1,Intro To NIAT
S-VYASA,Semester 1,Introduction to Generative AI
S-VYASA,Semester 1,Mathematics for Computer Science
S-VYASA,Semester 1,Quantitative Aptitude
S-VYASA,Semester 1,Web Application Development
S-VYASA,Semester 3,AI For Finanace
S-VYASA,Semester 3,Applied Commmunication English
S-VYASA,Semester 3,Backend Development
S-VYASA,Semester 3,Core Data Structure and Intermediate Algorithms
S-VYASA,Semester 3,Fundamental of Probability and Statistics
S-VYASA,Semester 3,Logical Reasoning
SCOPE GLOBAL SKILLS UNIVERSITY,Semester 1,Communicative English Foundation
SCOPE GLOBAL SKILLS UNIVERSITY,Semester 1,Computer Programming
SCOPE GLOBAL SKILLS UNIVERSITY,Semester 1,Intro To NIAT
SCOPE GLOBAL SKILLS UNIVERSITY,Semester 1,Introduction to Generative AI
SCOPE GLOBAL SKILLS UNIVERSITY,Semester 1,Mathematics for Computer Science
SCOPE GLOBAL SKILLS UNIVERSITY,Semester 1,Quantitative Aptitude
SCOPE GLOBAL SKILLS UNIVERSITY,Semester 1,Web Application Development
SMR University,Semester 1,Communicative English Foundation
SMR University,Semester 1,Computer Programming
SMR University,Semester 1,Intro To NIAT
SMR University,Semester 1,Introduction to Generative AI
SMR University,Semester 1,Mathematics for Computer Science
SMR University,Semester 1,Quantitative Aptitude
SMR University,Semester 1,Web Application Development
SPIHER University Bengaluru,Semester 1,Communicative English Foundation
SPIHER University Bengaluru,Semester 1,Computer Programming
SPIHER University Bengaluru,Semester 1,Intro To NIAT
SPIHER University Bengaluru,Semester 1,Introduction to Generative AI
SPIHER University Bengaluru,Semester 1,Mathematics for Computer Science
SPIHER University Bengaluru,Semester 1,Quantitative Aptitude
SPIHER University Bengaluru,Semester 1,Web Application Development
SPIHER University Chennai,Semester 1,Communicative English Foundation
SPIHER University Chennai,Semester 1,Computer Programming
SPIHER University Chennai,Semester 1,Intro To NIAT
SPIHER University Chennai,Semester 1,Introduction to Artificial Intelligence Tools
SPIHER University Chennai,Semester 1,Mathematics for Computer Science
SPIHER University Chennai,Semester 1,Quantitative Aptitude
SPIHER University Chennai,Semester 1,Web Application Development - I
Sandip University,Semester 1,Communicative English Foundation
Sandip University,Semester 1,Computer Programming
Sandip University,Semester 1,Intro To NIAT
Sandip University,Semester 1,Introduction to Generative AI
Sandip University,Semester 1,Mathematics for Computer Science
Sandip University,Semester 1,Quantitative Aptitude
Sandip University,Semester 1,Web Application Development
Sanjay Ghodawat University,Semester 1,Communicative English Foundation
Sanjay Ghodawat University,Semester 1,Computer Programming
Sanjay Ghodawat University,Semester 1,Intro To NIAT
Sanjay Ghodawat University,Semester 1,Introduction to Generative AI
Sanjay Ghodawat University,Semester 1,Mathematics for Computer Science
Sanjay Ghodawat University,Semester 1,Quantitative Aptitude
Sanjay Ghodawat University,Semester 1,Web Application Development
Sanjay Ghodawat University,Semester 3,AI For Finanace
Sanjay Ghodawat University,Semester 3,Advanced Communication Skills
Sanjay Ghodawat University,Semester 3,Back End Development
Sanjay Ghodawat University,Semester 3,Design and Analysis of Algorithms
Sanjay Ghodawat University,Semester 3,Logical Reasoning and Analytical Skills
Sanjay Ghodawat University,Semester 3,Probability and Statistics
Sri Sri University,Semester 1,Computer Programming
Sri Sri University,Semester 1,English
Sri Sri University,Semester 1,GEN AI
Sri Sri University,Semester 1,Intro To NIAT
Sri Sri University,Semester 1,Maths for CSE
Sri Sri University,Semester 1,Quantitative Aptitude
Sri Sri University,Semester 1,Web Application Development
Subharti University,Semester 1,Communicative English Foundation
Subharti University,Semester 1,Computer Programming
Subharti University,Semester 1,Intro To NIAT
Subharti University,Semester 1,Introduction to Generative AI
Subharti University,Semester 1,Mathematics for Computer Science
Subharti University,Semester 1,Quantitative Aptitude
Subharti University,Semester 1,Web Application Development
Sushant University,Semester 1,Communicative English Foundation
Sushant University,Semester 1,Computer Programming
Sushant University,Semester 1,Intro To NIAT
Sushant University,Semester 1,Introduction to Generative AI
Sushant University,Semester 1,Mathematics for Computer Science
Sushant University,Semester 1,Quantitative Aptitude
Sushant University,Semester 1,Web Application Development
Takshasila University,Semester 3,Applied Emmunicative English
Takshasila University,Semester 3,Backend Development
Takshasila University,Semester 3,Data Structures and its Applications
Takshasila University,Semester 3,Introduction to Finance
Takshasila University,Semester 3,Logical Reasoning
Takshasila University,Semester 3,Probability and Statistics
Training Institute,Semester 1,Advanced Aptitude
Training Institute,Semester 1,Build Your Own Dynamic Web Application
Training Institute,Semester 1,Build Your Own Responsive Website
Training Institute,Semester 1,Build Your Own Static Website
Training Institute,Semester 1,Communicative English Advanced (sem-2)
Training Institute,Semester 1,DSA Foundation
Training Institute,Semester 1,English
Training Institute,Semester 1,Generative AI
Training Institute,Semester 1,Intro to Software Development
Training Institute,Semester 1,Introduction to Databases(+Mongo DB)
Training Institute,Semester 1,Introduction to React JS
Training Institute,Semester 1,JS Essentials
Training Institute,Semester 1,Logical Reasoning
Training Institute,Semester 1,Math For Computer Science
Training Institute,Semester 1,Modern Responsive Web Design
Training Institute,Semester 1,NIAT_DSA_Sem2
Training Institute,Semester 1,Node JS
Training Institute,Semester 1,Numerical Ability
Training Institute,Semester 1,Programming Foundations
Training Institute,Semester 1,Quantitative Aptitude
Training Institute,Semester 1,Testing Course
Vivekananda global University,Semester 1,Communicative English Foundation
Vivekananda global University,Semester 1,Computer Programming
Vivekananda global University,Semester 1,Intro To NIAT
Vivekananda global University,Semester 1,Introduction to Generative AI
Vivekananda global University,Semester 1,Mathematics for Computer Science
Vivekananda global University,Semester 1,Quantitative Aptitude
Vivekananda global University,Semester 1,Web Application Development
Vivekananda global University,Semester 3,Advanced Data Structures
Vivekananda global University,Semester 3,Applied Communicative English
Vivekananda global University,Semester 3,Back End Development
Vivekananda global University,Semester 3,Logical Reasoning
Vivekananda global University,Semester 3,Operating Systems Principles
Vivekananda global University,Semester 3,Probability and Statistics
Yenapoya University,Semester 1,Computer Programming
Yenapoya University,Semester 1,English
Yenapoya University,Semester 1,GEN AI
Yenapoya University,Semester 1,Intro To NIAT
Yenapoya University,Semester 1,Maths for CSE
Yenapoya University,Semester 1,Quantitative Aptitude
Yenapoya University,Semester 1,Web Application Development
Yenapoya University,Semester 3,AI For Finanace
Yenapoya University,Semester 3,Advanced Communication Skills
Yenapoya University,Semester 3,Back End Development
Yenapoya University,Semester 3,Design and Analysis of Algorithms
Yenapoya University,Semester 3,Logical Reasoning and Analytical Skills
Yenapoya University,Semester 3,Probability and Statistics
Yenapoya University Banglore,Semester 1,Computer Programming
Yenapoya University Banglore,Semester 1,English
Yenapoya University Banglore,Semester 1,GEN AI
Yenapoya University Banglore,Semester 1,Intro To NIAT
Yenapoya University Banglore,Semester 1,Maths for CSE
Yenapoya University Banglore,Semester 1,Quantitative Aptitude
Yenapoya University Banglore,Semester 1,Web Application Development
